passenger_id,age_updated,embarked_updated,fare_updated,deck,pclass_updated
194,15.0,Southampton (UK),211.3375,B,First class
195,30.0,Southampton (UK),26.0,C,First class
196,16.0,Southampton (UK),86.5,B,First class
197,41.0,Cherbourg (FR),29.7,C,First class
198,19.0,Southampton (UK),53.1,D,First class
199,18.0,Southampton (UK),53.1,D,First class
200,24.0,Cherbourg (FR),49.5042,C,First class
201,46.0,Cherbourg (FR),75.2417,C,First class
202,54.0,Southampton (UK),51.8625,E,First class
203,36.0,Southampton (UK),26.2875,E,First class
204,28.0,Cherbourg (FR),82.1708,Unknown,First class
205,37.0,Cherbourg (FR),82.1708,Unknown,First class
206,65.0,Southampton (UK),26.55,E,First class
207,44.0,Queenstown (IE),90.0,C,First class
208,33.0,Queenstown (IE),90.0,C,First class
209,37.0,Queenstown (IE),90.0,C,First class
210,30.0,Cherbourg (FR),57.75,C,First class
211,55.0,Southampton (UK),30.5,C,First class
212,47.0,Southampton (UK),42.4,Unknown,First class
213,37.0,Cherbourg (FR),29.7,C,First class
214,31.0,Cherbourg (FR),113.275,D,First class
215,23.0,Cherbourg (FR),113.275,D,First class
216,58.0,Cherbourg (FR),113.275,D,First class
217,19.0,Southampton (UK),26.2833,D,First class
218,64.0,Southampton (UK),26.0,Unknown,First class
219,39.0,Cherbourg (FR),108.9,C,First class
220,41.0,Cherbourg (FR),25.7417,Unknown,First class
221,22.0,Cherbourg (FR),61.9792,B,First class
222,65.0,Cherbourg (FR),61.9792,B,First class
223,28.5,Cherbourg (FR),27.7208,D,First class
224,41.0,Southampton (UK),0.0,Unknown,First class
225,45.5,Southampton (UK),28.5,C,First class
226,23.0,Southampton (UK),93.5,B,First class
227,29.0,Southampton (UK),66.6,C,First class
228,22.0,Southampton (UK),66.6,C,First class
229,18.0,Cherbourg (FR),108.9,C,First class
230,17.0,Cherbourg (FR),108.9,C,First class
231,30.0,Southampton (UK),93.5,B,First class
232,52.0,Southampton (UK),30.5,C,First class
233,47.0,Southampton (UK),52.0,C,First class
234,56.0,Cherbourg (FR),83.1583,C,First class
235,38.0,Southampton (UK),0.0,Unknown,First class
236,41.0,Southampton (UK),39.6,Unknown,First class
237,22.0,Cherbourg (FR),135.6333,Unknown,First class
238,41.0,Cherbourg (FR),227.525,Unknown,First class
239,43.0,Southampton (UK),211.3375,B,First class
240,31.0,Southampton (UK),50.4958,A,First class
241,45.0,Southampton (UK),26.55,Unknown,First class
242,41.0,Southampton (UK),50.0,A,First class
243,33.0,Cherbourg (FR),27.7208,A,First class
244,46.0,Cherbourg (FR),79.2,Unknown,First class
245,36.0,Cherbourg (FR),40.125,A,First class
246,33.0,Southampton (UK),86.5,B,First class
247,55.0,Cherbourg (FR),59.4,Unknown,First class
248,54.0,Cherbourg (FR),59.4,Unknown,First class
249,33.0,Southampton (UK),26.55,Unknown,First class
250,13.0,Cherbourg (FR),262.375,B,First class
251,18.0,Cherbourg (FR),262.375,B,First class
252,21.0,Cherbourg (FR),262.375,B,First class
253,61.0,Cherbourg (FR),262.375,B,First class
254,48.0,Cherbourg (FR),262.375,B,First class
255,41.0,Southampton (UK),30.5,C,First class
256,24.0,Cherbourg (FR),69.3,B,First class
257,41.0,Southampton (UK),26.0,Unknown,First class
258,35.0,Cherbourg (FR),57.75,C,First class
259,30.0,Cherbourg (FR),31.0,Unknown,First class
260,34.0,Southampton (UK),26.55,Unknown,First class
261,40.0,Southampton (UK),153.4625,C,First class
262,35.0,Southampton (UK),26.2875,E,First class
263,50.0,Southampton (UK),55.9,E,First class
264,39.0,Southampton (UK),55.9,E,First class
265,56.0,Cherbourg (FR),35.5,A,First class
266,28.0,Southampton (UK),35.5,A,First class
267,56.0,Southampton (UK),26.55,Unknown,First class
268,56.0,Cherbourg (FR),30.6958,A,First class
269,24.0,Southampton (UK),60.0,C,First class
270,41.0,Southampton (UK),26.0,A,First class
271,18.0,Southampton (UK),60.0,C,First class
272,24.0,Southampton (UK),82.2667,B,First class
273,23.0,Southampton (UK),82.2667,B,First class
274,6.0,Cherbourg (FR),134.5,E,First class
275,45.0,Cherbourg (FR),134.5,E,First class
276,40.0,Cherbourg (FR),134.5,E,First class
277,57.0,Cherbourg (FR),146.5208,B,First class
278,37.0,Cherbourg (FR),146.5208,B,First class
279,32.0,Cherbourg (FR),30.5,B,First class
280,62.0,Southampton (UK),26.55,C,First class
281,54.0,Cherbourg (FR),55.4417,C,First class
282,43.0,Cherbourg (FR),55.4417,C,First class
283,52.0,Cherbourg (FR),78.2667,D,First class
284,41.0,Cherbourg (FR),27.7208,Unknown,First class
285,62.0,Southampton (UK),80.0,B,First class
286,67.0,Southampton (UK),221.7792,C,First class
287,63.0,Southampton (UK),221.7792,C,First class
288,61.0,Southampton (UK),32.3208,D,First class
289,48.0,Southampton (UK),25.9292,D,First class
290,18.0,Southampton (UK),79.65,E,First class
291,52.0,Southampton (UK),79.65,E,First class
292,39.0,Southampton (UK),79.65,E,First class
293,48.0,Southampton (UK),52.0,C,First class
294,37.0,Southampton (UK),52.0,C,First class
295,49.0,Cherbourg (FR),110.8833,C,First class
296,17.0,Cherbourg (FR),110.8833,C,First class
297,39.0,Cherbourg (FR),110.8833,C,First class
298,37.0,Cherbourg (FR),79.2,Unknown,First class
299,31.0,Cherbourg (FR),28.5375,C,First class
300,40.0,Cherbourg (FR),27.7208,Unknown,First class
301,61.0,Southampton (UK),33.5,B,First class
302,47.0,Southampton (UK),34.0208,D,First class
303,35.0,Cherbourg (FR),512.3292,Unknown,First class
304,64.0,Cherbourg (FR),75.25,D,First class
305,60.0,Cherbourg (FR),75.25,D,First class
306,60.0,Southampton (UK),26.55,Unknown,First class
307,54.0,Southampton (UK),77.2875,D,First class
308,21.0,Southampton (UK),77.2875,D,First class
309,55.0,Cherbourg (FR),135.6333,C,First class
310,31.0,Southampton (UK),164.8667,C,First class
311,57.0,Southampton (UK),164.8667,Unknown,First class
312,45.0,Southampton (UK),164.8667,Unknown,First class
313,50.0,Cherbourg (FR),211.5,C,First class
314,27.0,Cherbourg (FR),211.5,C,First class
315,50.0,Cherbourg (FR),211.5,C,First class
316,21.0,Southampton (UK),26.55,Unknown,First class
317,51.0,Cherbourg (FR),61.3792,Unknown,First class
318,21.0,Cherbourg (FR),61.3792,Unknown,First class
319,41.0,Southampton (UK),35.0,C,First class
320,31.0,Cherbourg (FR),134.5,E,First class
321,41.0,Southampton (UK),35.5,C,First class
322,62.0,Southampton (UK),26.55,Unknown,First class
323,36.0,Cherbourg (FR),135.6333,C,First class
324,30.0,Cherbourg (FR),24.0,Unknown,Second class
325,28.0,Cherbourg (FR),24.0,Unknown,Second class
326,30.0,Southampton (UK),13.0,Unknown,Second class
327,18.0,Southampton (UK),11.5,Unknown,Second class
328,25.0,Southampton (UK),10.5,Unknown,Second class
329,34.0,Southampton (UK),26.0,Unknown,Second class
330,36.0,Southampton (UK),26.0,Unknown,Second class
331,57.0,Southampton (UK),13.0,Unknown,Second class
332,18.0,Southampton (UK),11.5,Unknown,Second class
333,23.0,Southampton (UK),10.5,Unknown,Second class
334,36.0,Southampton (UK),13.0,D,Second class
335,28.0,Southampton (UK),10.5,Unknown,Second class
336,51.0,Southampton (UK),12.525,Unknown,Second class
337,32.0,Southampton (UK),26.0,Unknown,Second class
338,19.0,Southampton (UK),26.0,Unknown,Second class
339,28.0,Southampton (UK),26.0,Unknown,Second class
340,1.0,Southampton (UK),39.0,F,Second class
341,4.0,Southampton (UK),39.0,F,Second class
342,12.0,Southampton (UK),39.0,F,Second class
343,36.0,Southampton (UK),39.0,F,Second class
344,34.0,Southampton (UK),13.0,D,Second class
345,19.0,Southampton (UK),13.0,Unknown,Second class
346,23.0,Southampton (UK),13.0,Unknown,Second class
347,26.0,Southampton (UK),13.0,Unknown,Second class
348,42.0,Southampton (UK),13.0,Unknown,Second class
349,27.0,Southampton (UK),13.0,Unknown,Second class
350,24.0,Southampton (UK),13.0,F,Second class
351,15.0,Southampton (UK),39.0,Unknown,Second class
352,60.0,Southampton (UK),39.0,Unknown,Second class
353,40.0,Southampton (UK),39.0,Unknown,Second class
354,20.0,Southampton (UK),26.0,Unknown,Second class
355,25.0,Southampton (UK),26.0,Unknown,Second class
356,36.0,Southampton (UK),13.0,Unknown,Second class
357,25.0,Southampton (UK),13.0,Unknown,Second class
358,42.0,Southampton (UK),13.0,Unknown,Second class
359,42.0,Southampton (UK),13.0,Unknown,Second class
360,0.8333,Southampton (UK),29.0,Unknown,Second class
361,26.0,Southampton (UK),29.0,Unknown,Second class
362,22.0,Southampton (UK),29.0,Unknown,Second class
363,35.0,Southampton (UK),21.0,Unknown,Second class
364,30.0,Southampton (UK),0.0,Unknown,Second class
365,19.0,Southampton (UK),13.0,Unknown,Second class
366,44.0,Southampton (UK),26.0,Unknown,Second class
367,54.0,Southampton (UK),26.0,Unknown,Second class
368,52.0,Southampton (UK),13.5,Unknown,Second class
369,37.0,Southampton (UK),26.0,Unknown,Second class
370,29.0,Southampton (UK),26.0,Unknown,Second class
371,25.0,Southampton (UK),30.0,Unknown,Second class
372,45.0,Southampton (UK),30.0,Unknown,Second class
373,29.0,Southampton (UK),26.0,Unknown,Second class
374,28.0,Southampton (UK),26.0,Unknown,Second class
375,29.0,Southampton (UK),10.5,Unknown,Second class
376,28.0,Southampton (UK),13.0,Unknown,Second class
377,24.0,Southampton (UK),10.5,Unknown,Second class
378,8.0,Southampton (UK),26.25,Unknown,Second class
379,31.0,Southampton (UK),26.25,Unknown,Second class
380,31.0,Southampton (UK),26.25,Unknown,Second class
381,22.0,Southampton (UK),10.5,F,Second class
382,30.0,Southampton (UK),13.0,Unknown,Second class
383,27.0,Southampton (UK),21.0,Unknown,Second class
384,21.0,Southampton (UK),11.5,Unknown,Second class
385,30.0,Southampton (UK),0.0,Unknown,Second class
386,8.0,Southampton (UK),36.75,Unknown,Second class
387,18.0,Southampton (UK),73.5,Unknown,Second class
388,48.0,Southampton (UK),36.75,Unknown,Second class
389,28.0,Southampton (UK),13.0,Unknown,Second class
390,32.0,Southampton (UK),13.0,Unknown,Second class
391,17.0,Southampton (UK),73.5,Unknown,Second class
392,29.0,Cherbourg (FR),27.7208,Unknown,Second class
393,24.0,Cherbourg (FR),27.7208,Unknown,Second class
394,25.0,Southampton (UK),31.5,Unknown,Second class
395,18.0,Southampton (UK),73.5,Unknown,Second class
396,18.0,Southampton (UK),23.0,Unknown,Second class
397,34.0,Southampton (UK),23.0,Unknown,Second class
398,54.0,Southampton (UK),26.0,Unknown,Second class
399,8.0,Southampton (UK),32.5,Unknown,Second class
400,42.0,Southampton (UK),32.5,Unknown,Second class
401,34.0,Southampton (UK),32.5,Unknown,Second class
402,27.0,Cherbourg (FR),13.8583,Unknown,Second class
403,30.0,Cherbourg (FR),13.8583,Unknown,Second class
404,23.0,Southampton (UK),13.0,Unknown,Second class
405,21.0,Southampton (UK),13.0,Unknown,Second class
406,18.0,Southampton (UK),13.0,Unknown,Second class
407,40.0,Southampton (UK),26.0,Unknown,Second class
408,29.0,Southampton (UK),26.0,Unknown,Second class
409,18.0,Southampton (UK),10.5,Unknown,Second class
410,36.0,Southampton (UK),13.0,Unknown,Second class
411,30.0,Southampton (UK),0.0,Unknown,Second class
412,38.0,Southampton (UK),13.0,Unknown,Second class
413,35.0,Southampton (UK),26.0,Unknown,Second class
414,38.0,Southampton (UK),21.0,Unknown,Second class
415,34.0,Southampton (UK),21.0,Unknown,Second class
416,34.0,Southampton (UK),13.0,Unknown,Second class
417,16.0,Southampton (UK),26.0,Unknown,Second class
418,26.0,Southampton (UK),10.5,Unknown,Second class
419,47.0,Southampton (UK),10.5,Unknown,Second class
420,21.0,Southampton (UK),11.5,Unknown,Second class
421,21.0,Southampton (UK),11.5,Unknown,Second class
422,24.0,Southampton (UK),13.5,Unknown,Second class
423,24.0,Southampton (UK),13.0,Unknown,Second class
424,34.0,Southampton (UK),13.0,Unknown,Second class
425,30.0,Southampton (UK),13.0,Unknown,Second class
426,52.0,Southampton (UK),13.0,Unknown,Second class
427,30.0,Southampton (UK),13.0,Unknown,Second class
428,0.6667,Southampton (UK),14.5,Unknown,Second class
429,24.0,Southampton (UK),14.5,Unknown,Second class
430,44.0,Southampton (UK),13.0,Unknown,Second class
431,6.0,Southampton (UK),33.0,Unknown,Second class
432,28.0,Southampton (UK),33.0,Unknown,Second class
433,62.0,Southampton (UK),10.5,Unknown,Second class
434,30.0,Southampton (UK),10.5,Unknown,Second class
435,7.0,Southampton (UK),26.25,Unknown,Second class
436,43.0,Southampton (UK),26.25,Unknown,Second class
437,45.0,Southampton (UK),26.25,Unknown,Second class
438,24.0,Southampton (UK),65.0,Unknown,Second class
439,24.0,Southampton (UK),65.0,Unknown,Second class
440,49.0,Southampton (UK),65.0,Unknown,Second class
441,48.0,Southampton (UK),65.0,Unknown,Second class
442,55.0,Southampton (UK),16.0,Unknown,Second class
443,24.0,Southampton (UK),73.5,Unknown,Second class
444,32.0,Southampton (UK),73.5,Unknown,Second class
445,21.0,Southampton (UK),73.5,Unknown,Second class
446,18.0,Southampton (UK),13.0,Unknown,Second class
447,20.0,Southampton (UK),23.0,Unknown,Second class
448,23.0,Southampton (UK),11.5,Unknown,Second class
449,36.0,Southampton (UK),13.0,Unknown,Second class
450,54.0,Southampton (UK),23.0,Unknown,Second class
451,50.0,Southampton (UK),13.0,Unknown,Second class
452,44.0,Southampton (UK),26.0,Unknown,Second class
453,29.0,Southampton (UK),26.0,Unknown,Second class
454,21.0,Southampton (UK),73.5,Unknown,Second class
455,42.0,Southampton (UK),13.0,Unknown,Second class
456,63.0,Southampton (UK),26.0,Unknown,Second class
457,60.0,Southampton (UK),26.0,Unknown,Second class
458,33.0,Southampton (UK),12.275,Unknown,Second class
459,17.0,Southampton (UK),10.5,Unknown,Second class
460,42.0,Southampton (UK),27.0,Unknown,Second class
461,24.0,Southampton (UK),27.0,Unknown,Second class
462,47.0,Southampton (UK),15.0,Unknown,Second class
463,24.0,Southampton (UK),31.5,Unknown,Second class
464,22.0,Southampton (UK),31.5,Unknown,Second class
465,32.0,Southampton (UK),10.5,Unknown,Second class
466,23.0,Cherbourg (FR),13.7917,D,Second class
467,34.0,Southampton (UK),26.0,Unknown,Second class
468,24.0,Southampton (UK),26.0,Unknown,Second class
469,22.0,Southampton (UK),21.0,Unknown,Second class
470,27.0,Queenstown (IE),12.35,E,Second class
471,35.0,Queenstown (IE),12.35,Unknown,Second class
472,45.0,Southampton (UK),13.5,Unknown,Second class
473,57.0,Queenstown (IE),12.35,Unknown,Second class
474,30.0,Southampton (UK),0.0,Unknown,Second class
475,31.0,Southampton (UK),10.5,Unknown,Second class
476,26.0,Southampton (UK),26.0,Unknown,Second class
477,30.0,Southampton (UK),26.0,Unknown,Second class
478,30.0,Queenstown (IE),10.7083,Unknown,Second class
479,1.0,Cherbourg (FR),41.5792,Unknown,Second class
480,3.0,Cherbourg (FR),41.5792,Unknown,Second class
481,25.0,Cherbourg (FR),41.5792,Unknown,Second class
482,22.0,Cherbourg (FR),41.5792,Unknown,Second class
483,17.0,Cherbourg (FR),12.0,Unknown,Second class
484,27.0,Southampton (UK),33.0,Unknown,Second class
485,34.0,Southampton (UK),10.5,F,Second class
486,36.0,Cherbourg (FR),12.875,D,Second class
487,24.0,Southampton (UK),10.5,Unknown,Second class
488,61.0,Queenstown (IE),12.35,Unknown,Second class
489,50.0,Southampton (UK),26.0,Unknown,Second class
490,42.0,Southampton (UK),26.0,Unknown,Second class
491,57.0,Southampton (UK),10.5,E,Second class
492,30.0,Cherbourg (FR),15.0458,D,Second class
493,1.0,Cherbourg (FR),37.0042,Unknown,Second class
494,31.0,Cherbourg (FR),37.0042,Unknown,Second class
495,24.0,Cherbourg (FR),37.0042,Unknown,Second class
496,30.0,Cherbourg (FR),15.5792,Unknown,Second class
497,30.0,Southampton (UK),13.0,Unknown,Second class
498,40.0,Southampton (UK),16.0,Unknown,Second class
499,32.0,Southampton (UK),13.5,Unknown,Second class
500,30.0,Southampton (UK),13.0,Unknown,Second class
501,46.0,Southampton (UK),26.0,Unknown,Second class
502,13.0,Southampton (UK),19.5,Unknown,Second class
503,41.0,Southampton (UK),19.5,Unknown,Second class
504,19.0,Southampton (UK),10.5,Unknown,Second class
505,39.0,Southampton (UK),13.0,Unknown,Second class
506,48.0,Southampton (UK),13.0,Unknown,Second class
507,70.0,Southampton (UK),10.5,Unknown,Second class
508,27.0,Southampton (UK),13.0,Unknown,Second class
509,54.0,Southampton (UK),14.0,Unknown,Second class
510,39.0,Southampton (UK),26.0,Unknown,Second class
511,16.0,Southampton (UK),10.5,Unknown,Second class
512,62.0,Queenstown (IE),9.6875,Unknown,Second class
513,32.5,Cherbourg (FR),30.0708,Unknown,Second class
514,14.0,Cherbourg (FR),30.0708,Unknown,Second class
515,2.0,Southampton (UK),26.0,F,Second class
516,3.0,Southampton (UK),26.0,F,Second class
517,36.5,Southampton (UK),26.0,F,Second class
518,26.0,Southampton (UK),13.0,F,Second class
519,19.0,Southampton (UK),36.75,Unknown,Second class
520,28.0,Southampton (UK),13.5,Unknown,Second class
521,20.0,Cherbourg (FR),13.8625,D,Second class
522,29.0,Southampton (UK),10.5,F,Second class
523,39.0,Southampton (UK),13.0,Unknown,Second class
524,22.0,Southampton (UK),10.5,Unknown,Second class
525,30.0,Cherbourg (FR),13.8625,Unknown,Second class
526,23.0,Southampton (UK),10.5,Unknown,Second class
527,29.0,Cherbourg (FR),13.8583,Unknown,Second class
528,28.0,Southampton (UK),10.5,Unknown,Second class
529,30.0,Southampton (UK),0.0,Unknown,Second class
530,50.0,Southampton (UK),26.0,Unknown,Second class
531,19.0,Southampton (UK),10.5,Unknown,Second class
532,30.0,Cherbourg (FR),15.05,Unknown,Second class
533,41.0,Southampton (UK),13.0,Unknown,Second class
534,21.0,Southampton (UK),21.0,Unknown,Second class
535,19.0,Southampton (UK),26.0,Unknown,Second class
536,43.0,Southampton (UK),21.0,Unknown,Second class
537,32.0,Southampton (UK),13.0,Unknown,Second class
538,34.0,Southampton (UK),13.0,Unknown,Second class
539,30.0,Cherbourg (FR),12.7375,Unknown,Second class
540,27.0,Cherbourg (FR),15.0333,Unknown,Second class
