passenger_id,survived,boat,body
388,1,14,
389,1,13,
390,0,,
391,0,,
392,0,,295.0
393,1,12,
394,0,,
395,0,,
396,1,,
397,1,,
398,0,,
399,1,10,
400,0,,
401,1,10,
402,1,12,
403,1,12,
404,0,,
405,0,,
406,0,,
407,0,,286.0
408,1,16,
409,0,,
410,0,,236.0
411,0,,
412,0,,
413,0,,322.0
414,0,,
415,0,,
416,1,12,
417,0,,
418,0,,
419,0,,
420,0,,
421,0,,
422,0,,297.0
423,0,,155.0
424,0,,
425,0,,305.0
426,0,,19.0
427,0,,75.0
428,1,4,
429,1,4,
430,0,,35.0
431,1,11,
432,0,,
433,1,15,
434,0,,
435,1,14,
436,0,,
437,1,14,
438,1,9,
439,1,9,
440,0,,
441,1,9,
442,1,13,
443,0,,
444,0,,256.0
445,0,,
446,0,,
447,1,4,
448,0,,
449,0,,
450,1,4,
451,0,,149.0
452,0,,
453,1,10,
454,0,,
455,1,10,
456,0,,
457,0,,
458,0,,
459,1,,
460,0,,
461,1,12,
462,0,,
463,0,,
464,0,,
465,0,,
466,1,11,
467,0,,283.0
468,1,12,
469,0,,
470,1,10,
471,0,,
472,1,9,
473,0,,
474,0,,
475,0,,165.0
476,0,,
477,0,,
478,0,,
479,1,14,
480,1,14,
481,0,,
482,1,14,
483,1,12,
484,1,11,
485,1,14,
486,0,,
487,0,,108.0
488,0,,
489,0,,121.0
490,1,,
491,0,,52.0
492,0,,
493,1,10,
494,0,,
495,1,10,
496,0,,
497,0,,
498,0,,
499,0,,209.0
500,0,,
501,0,,
502,1,14,
503,1,14,
504,1,B,
505,0,,
506,0,,271.0
507,0,,
508,0,,
509,0,,
510,0,,
511,0,,
512,0,,
513,0,,43.0
514,1,,
515,1,D,
516,1,D,
517,0,,15.0
518,0,,
519,0,,101.0
520,0,,287.0
521,1,7,
522,1,11,
523,0,,
524,1,13,
525,1,9,
526,0,,
527,1,9,
528,0,,
529,0,,
530,1,12,
531,0,,
532,0,,
533,0,,
534,1,12,
535,1,11,
536,0,,
537,1,9,
538,0,,
539,1,14,
540,0,,
541,1,11,
542,1,11,
543,1,11,
544,0,,
545,0,12,
546,1,,
547,1,9,
548,0,,
549,1,4,
550,1,4,
551,1,4,
552,1,13,
553,0,,
554,1,12,
555,0,,
556,0,,
557,0,,
558,1,12,
559,1,16,
560,1,11,
561,1,10,
562,0,,
563,1,13,
564,0,,
565,1,9,
566,0,,
567,0,,
568,0,,81.0
569,0,,294.0
570,0,,
571,1,9,
572,0,,
573,1,,
574,1,16,
575,0,,
576,0,,
577,0,,
578,1,14,
579,0,,
580,0,,
581,1,10,
582,0,,
583,1,9,
584,1,9,
585,1,12,
586,0,,293.0
587,1,10,
588,1,14,
589,1,14,
590,1,14,
591,1,10,
592,1,10,
593,0,,
594,1,10,
595,0,,
596,0,,
597,1,9,
598,1,14,
599,1,9,
600,0,,
601,0,,
602,0,,
603,0,,190.0
604,1,A,
605,1,16,
606,1,A,
607,1,15,
608,1,C,
609,0,,72.0
610,0,,103.0
611,0,,
612,1,11,
613,1,13,
614,1,15,
615,0,,
616,0,,
617,0,,
618,0,,79.0
619,0,,
620,0,,259.0
621,0,,260.0
622,1,16,
623,0,,
624,0,,
625,0,,
626,1,D,
627,0,,
628,0,,
629,0,,
630,0,,
631,1,A,
632,0,,
633,0,,
634,0,,
635,0,,
636,0,,
637,0,,
638,0,,
639,0,,
640,0,,
641,0,,
642,1,15,
643,0,,
644,1,15,
645,0,,142.0
646,1,13,
647,1,15,
648,1,C,
649,0,,
650,0,,
651,0,,
652,0,,
653,0,,
654,1,C,
655,0,,
656,0,D,
657,1,,
658,1,C,
659,1,C,
660,1,C,
661,1,C,
662,1,C,
663,0,,
664,0,,
665,1,15,
666,0,,
667,0,,
668,0,,
669,0,,
670,0,,
671,0,,
672,0,,
673,0,,
674,0,,
675,1,C,
676,0,,
677,0,,
678,0,,
679,0,,
680,0,,
681,0,,
682,0,,
683,0,,
684,0,,
685,0,,
686,0,,
687,1,13,
688,0,,
689,0,,
690,0,,
691,0,,
692,0,,
693,0,,299.0
694,1,13,
695,0,,
696,0,,
697,0,,
698,0,,
699,0,,
700,0,,
701,0,,
702,0,,
703,0,,
704,0,,
705,0,,
706,0,,
707,0,,
708,0,,
709,0,,
710,1,16,
711,0,,
712,0,,
713,0,,
714,0,,
715,1,C,
716,0,,
717,0,,
718,0,,
719,0,,
720,1,12,
721,0,,
722,0,,
723,0,,
724,0,,
725,0,,
726,1,13,
727,0,,
728,0,,171.0
729,0,,
730,0,,
731,0,,
732,0,,
733,0,,
734,1,2,
735,1,2,
736,1,2,
737,0,,
738,0,,
739,1,12,
740,0,,
741,0,,
742,0,,9.0
743,1,15,
744,0,,
745,0,,
746,1,15,
747,1,13 15 B,
748,0,,
749,0,,197.0
750,0,,
751,0,,
752,0,,
753,0,,
754,0,,
755,0,,
756,0,,
757,0,,
758,1,16,
759,1,15,
760,1,13,
761,1,11,
762,0,,
763,1,10,
764,1,10,
765,0,,
766,1,10,
767,0,,
768,0,,
769,0,,
770,0,,
771,0,,
772,1,C,
773,0,,
774,0,,
775,0,,
776,0,,
777,0,,
778,1,B,
779,1,13,
780,0,,
781,1,,
782,0,,51.0
783,0,,
784,1,D,
785,0,,
786,1,16,
787,0,,
788,0,,
789,0,,
790,0,,
791,0,,
792,0,,
793,0,,
794,0,,
795,1,13,
796,0,,
797,0,,187.0
798,0,,68.0
799,1,15,
800,0,,
801,0,,
802,0,,
803,0,,
804,0,,
805,0,,
806,1,13,
807,0,,
808,0,,
809,0,,
810,0,,
811,0,,
812,0,,
813,0,,
814,0,,
815,0,,
816,0,,
817,0,,
818,0,,47.0
819,1,16,
820,1,13,
821,1,C D,
822,0,,
823,0,,
824,1,C D,
825,0,,
826,0,,
827,0,,
828,0,,
829,0,,
830,0,,
831,0,,
832,0,,
833,0,,
834,0,,
835,0,,
836,0,,
837,0,,
838,0,,98.0
839,0,,
840,0,,
841,0,,
842,0,,
843,0,,
844,0,,
845,0,,
846,1,15,
847,0,,
848,0,,188.0
849,0,,
850,0,,
851,0,,69.0
852,1,11,
853,0,,
854,0,B,
855,0,,
856,0,,
857,1,16,
858,1,15,
859,1,C,
860,0,,
861,1,,
862,0,,
863,1,C,
864,0,,306.0
865,0,,
866,0,,
867,1,15,
868,1,15,
869,0,,
870,0,,
871,1,,
872,0,,
873,1,C,
874,0,,120.0
875,1,C,
876,0,,
877,0,,
878,0,,
879,0,,
880,0,,
881,1,15,
882,1,A,
883,0,,
884,0,,
885,0,,
886,0,,
887,1,D,
888,1,13,
889,0,,143.0
890,1,15,
891,0,,156.0
892,0,,285.0
893,0,,
894,0,,
895,1,15,
896,1,15,
897,0,,
898,0,,37.0
899,0,,
900,1,15,
901,0,,
902,0,,
903,0,,
904,0,,
905,0,,
906,1,15,
907,0,,
908,0,,
909,0,,
910,1,15,
911,0,,
912,0,,
913,0,,
914,1,13,
915,0,,
916,0,,
917,1,15,
918,1,15,
919,0,,
920,0,,58.0
921,0,,
922,0,A,
923,1,16,
924,1,D,
925,0,,70.0
926,0,,
927,1,,
928,0,,
929,0,,
930,0,,
931,0,,
932,0,,
933,0,,
934,0,,
935,1,2,
936,1,2,
937,1,2,
938,0,,
939,0,,
940,0,,
941,0,,
942,1,10,
943,0,,
944,0,,
945,0,,
946,1,C,
947,0,,
948,1,13,
949,0,,
950,1,14,
951,0,,
952,0,,
953,0,,
954,1,6,
955,0,,
956,0,,
957,0,,
958,0,,
959,0,,
960,0,,
961,0,,196.0
962,0,,
963,0,,
964,0,,
965,0,,
966,0,,
967,0,,
968,0,,
969,0,A,
970,0,A,
971,1,15,
972,0,,
973,0,,
974,0,,
975,0,,
976,0,,
977,0,,153.0
978,0,,
979,1,15,
980,0,,
981,1,10,
982,1,15,
983,0,,
984,0,,
985,1,15,
986,1,13,
987,0,,
988,0,,
989,0,,
990,0,,
991,0,,
992,1,15,
993,0,,61.0
994,1,16,
995,0,,
996,0,,
997,0,,
998,1,C,
999,0,,
1000,1,15 16,
1001,1,,
1002,1,16,
1003,1,16,
1004,1,16,
1005,1,13,
1006,0,,
1007,1,13,
1008,1,,
1009,0,,
1010,0,,
1011,0,,
1012,0,,53.0
1013,0,,
1014,0,,
1015,0,,
1016,0,,201.0
1017,0,,
1018,1,15,
1019,0,,
1020,0,,
1021,0,,
1022,0,,
1023,0,,
1024,1,16,
1025,0,,309.0
1026,1,14,
1027,1,14,
1028,0,,
1029,1,16,
1030,0,,
1031,0,,
1032,0,,
1033,0,,
1034,1,B,
1035,1,C,
1036,1,C,
1037,1,C,
1038,1,,
1039,0,,
1040,1,16,
1041,1,15,
1042,0,,
1043,1,16,
1044,1,16,
1045,1,16,
1046,0,,
1047,0,,
1048,1,C,
1049,1,C,
1050,1,C,
1051,1,C,
1052,0,,
1053,0,,
1054,0,,
1055,0,,
1056,0,,
1057,1,C,
1058,1,C,
1059,0,,
1060,0,,
1061,1,D,
1062,1,13,
1063,0,,
1064,0,,
1065,1,9,
1066,0,,
1067,0,,181.0
1068,1,13,
1069,0,,
1070,0,,
1071,0,,
1072,1,,
1073,0,,
1074,0,,
1075,0,,
1076,0,,
1077,0,,
1078,1,D,
1079,1,,
1080,1,C,
1081,1,B,
1082,1,13,
1083,1,13,
1084,0,,173.0
1085,0,,
1086,0,,
1087,0,,
1088,0,,
1089,1,A,
1090,0,,89.0
1091,0,,
1092,0,,
1093,0,,
1094,0,,
1095,1,,
1096,0,,
1097,0,,4.0
1098,0,,
1099,0,,
1100,0,,
1101,0,,206.0
1102,0,,
1103,0,,
1104,0,,
1105,0,,
1106,0,,
1107,0,,
1108,0,,
1109,0,,
1110,0,,
1111,0,,
1112,0,,
1113,0,,
1114,0,,
1115,0,,
1116,0,,
1117,0,,
1118,0,,
1119,0,,
1120,0,,
1121,1,15,
1122,1,C,
1123,1,D,
1124,1,D,
1125,0,,
1126,0,,
1127,0,,
1128,0,,
1129,0,,
1130,0,,
1131,0,,
1132,1,9,
1133,0,,
1134,0,,
1135,0,,
1136,0,,
1137,0,,
1138,0,,
1139,0,,
1140,0,,
1141,0,,
1142,0,,
1143,0,,
1144,0,,
1145,0,,
1146,0,,
1147,0,,327.0
1148,0,,
1149,0,,
1150,1,13,
1151,0,,
1152,0,,
1153,0,,119.0
1154,0,,7.0
1155,0,,
1156,0,,
1157,0,,
1158,0,,
1159,0,,
1160,1,C,
1161,0,,
1162,0,,
1163,1,14,
1164,0,,
1165,0,,
1166,0,,
1167,0,,
1168,0,,
1169,0,,
1170,0,,32.0
1171,0,,
1172,0,,67.0
1173,0,,
1174,0,,
1175,0,,
1176,0,,
1177,0,,
1178,0,,
1179,0,,
1180,0,,
1181,0,,
1182,0,,
1183,1,C,
1184,0,,
1185,0,,
1186,0,,
1187,0,,
1188,1,13,
1189,1,13,
1190,1,13,
1191,1,11,
1192,0,,
1193,0,,284.0
1194,0,,
1195,0,,
1196,0,,
1197,1,11,
1198,0,,
1199,1,,
1200,0,,
1201,0,,
1202,0,,
1203,0,,
1204,0,,
1205,0,,
1206,1,16,
1207,0,,
1208,0,,
1209,0,,
1210,0,,
1211,0,,
1212,0,,
1213,0,,
1214,0,,
1215,0,,
1216,0,,
1217,1,13,
1218,0,,
1219,0,,
1220,0,,
1221,0,,
1222,0,,
1223,0,,
1224,1,C,
1225,0,,
1226,0,,261.0
1227,0,,
1228,0,,
1229,1,9,
1230,0,,
1231,0,,
1232,0,,
1233,1,B,
1234,1,15,
1235,0,,
1236,0,,
1237,1,13,
1238,0,,
1239,1,13 15,
1240,0,,176.0
1241,1,16,
1242,0,,
1243,0,,
1244,0,,
1245,1,14,
1246,0,,
1247,0,,
1248,1,10,
1249,0,,
1250,0,,
1251,0,,
1252,0,,50.0
1253,0,,
1254,0,,
1255,1,15,
1256,0,,
1257,1,C,
1258,1,C,
1259,1,C,
1260,0,,
1261,1,15,
1262,1,15,
1263,0,,
1264,0,,1.0
1265,0,,255.0
1266,0,,
1267,0,,
1268,0,,
1269,0,,
1270,0,,
1271,0,,
1272,0,,
1273,0,,
1274,0,,
1275,0,,
1276,0,,
1277,0,,
1278,1,13 15,
1279,0,,
1280,0,,
1281,0,,
1282,0,,
1283,0,,
1284,0,,
1285,0,,
1286,0,,298.0
1287,1,C,
1288,0,,
1289,0,,314.0
1290,0,,
1291,1,,
1292,0,,
1293,0,,
1294,0,,
1295,0,,14.0
1296,0,,
1297,0,,131.0
1298,0,,
1299,0,,
1300,0,C,
1301,1,,
1302,0,,312.0
1303,0,,
1304,0,,
1305,0,,328.0
1306,0,,
1307,0,,304.0
1308,0,,
1309,0,,
